mnemonic,opcode_7bit_bin,opcode_hex,format,requires_successor,base_opcode_bin,immediate_flag
NOP,0000000,0x00,R,No,000000,0
MOV,0000001,0x01,R,No,000001,0
SWAP,0000010,0x02,R,No,000010,0
ADD,0000011,0x03,R,No,000011,0
SUB,0000100,0x04,R,No,000100,0
AND,0000101,0x05,R,No,000101,0
NOT,0000110,0x06,R,No,000110,0
INC,0000111,0x07,R,No,000111,0
SETC,0001000,0x08,R,No,001000,0
OUT,0001001,0x09,R,No,001001,0
IN,0001010,0x0A,R,No,001010,0

IADD,1000000,0x40,I,Yes,000000,1
LDM,1000001,0x41,I,Yes,000001,1
LDD,1000010,0x42,I,Yes,000010,1
STD,1000011,0x43,I,Yes,000011,1

JZ,1000100,0x44,J,Yes,000100,1
JN,1000101,0x45,J,Yes,000101,1
JC,1000110,0x46,J,Yes,000110,1
JMP,1000111,0x47,J,Yes,000111,1
CALL,1001000,0x48,J,Yes,001000,1

PUSH,0010000,0x10,SYS,No,010000,0
POP,0010001,0x11,SYS,No,010001,0
INT,1010010,0x52,SYS,Yes,010010,1
RTI,0010011,0x13,SYS,No,010011,0
RET,0010100,0x14,SYS,No,010100,0
HLT,0010101,0x15,SYS,No,010101,0
